"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20001566,"  1566 Icarus (1949 MA)",1566,Icarus,,Y,Y,0,16.58,,,,,,,1.0,,0.51,2.2726,,0.774,0.520,,,,,,"JPL 159",2460200.5,60200,2023-09-13.0,J2000,0.8269,1.078,0.187,22.80,87.95,31.44,168.65,1.97,0.8805,2460008.96,2023-03-05.4,409,1.12,0.0338,13.2,3.22,5.3,2.6e-09,1.5e-09,3.0e-09,6.6e-07,2.5e-07,4.2e-07,5.0e-06,2.8e-09,1.9e-09,5.3e-06,8.7e-07,APO,"Otto Matic",27042,1949-07-01,2023-07-15,1645,10,13,0,.37676,,,,-3.5e-15,3.5e-16,,,,
20001620,"  1620 Geographos (1951 RA)",1620,Geographos,,Y,Y,0,15.27,,,,,,,2.56,5.0x2.0x2.1,0.290,5.22204,,0.862,0.471,,S,S,,0.15,"JPL 763",2460200.5,60200,2023-09-13.0,J2000,0.3355,1.246,0.828,13.34,337.17,276.95,5.84,1.66,0.7089,2460192.26,2023-09-04.7,508,1.39,0.03,11.7,3.45,5.07,9.0e-10,1.9e-10,1.1e-09,4.0e-08,1.9e-07,2.2e-07,3.4e-07,2.5e-10,1.6e-10,4.8e-07,1.2e-07,APO,"Otto Matic",26433,1951-09-14,2024-01-27,8170,3,4,0,.30095,,,,-3.7e-15,2.4e-16,,,,
20001862,"  1862 Apollo (1932 HA)",1862,Apollo,,Y,Y,1,16.08,0.09,,,,,,1.5,,0.25,3.065,,0.819,0.481,,Q,Q,,,"JPL 534",2460200.5,60200,2023-09-13.0,J2000,0.5599,1.471,0.647,6.35,35.56,286.05,31.77,2.29,0.5526,2460143.00,2023-07-17.5,652,1.78,0.0261,10.2,3.06,4.41,1.6e-09,1.7e-10,2.3e-09,7.3e-08,8.0e-07,6.6e-07,4.6e-07,2.7e-10,9.6e-11,8.3e-07,1.1e-07,APO,"Otto Matic",34041,1930-12-13,2024-02-24,3461,8,9,0,.46463,,,,-3.7e-15,2.0e-16,,,,
20001981,"  1981 Midas (1973 EA)",1981,Midas,,Y,Y,0,15.28,,,,,,,3.4,,,5.22,,,,,V,,,,"JPL 232",2460200.5,60200,2023-09-13.0,J2000,0.6501,1.777,0.622,39.82,356.85,267.82,92.26,2.93,0.4162,2459978.82,2023-02-03.3,865,2.37,0.00314,1.22,3.31,3.61,7.6e-10,1.9e-09,1.1e-09,1.5e-07,1.2e-07,1.6e-07,1.3e-06,3.2e-09,6.8e-10,2.8e-06,1.4e-06,APO,"Otto Matic",18496,1973-03-06,2023-10-26,1203,12,1,0,.45874,,,,,,,,,
20002101,"  2101 Adonis (1936 CA)",2101,Adonis,,Y,Y,0,18.72,,,,,,,0.6,,,,,,,,,,,,"JPL 47",2460200.5,60200,2023-09-13.0,J2000,0.7643,1.874,0.442,1.32,349.47,43.64,77.18,3.31,0.3843,2459999.65,2023-02-24.1,937,2.56,0.0115,4.48,2.15,3.55,5.9e-08,9.9e-09,1.1e-07,9.6e-06,4.5e-04,4.5e-04,9.6e-06,1.7e-08,3.0e-09,2.4e-05,7.4e-06,APO,"Otto Matic",30790,1936-02-21,2020-06-09,123,0,5,0,.39458,,,,-3.3e-14,5.7e-15,,,,
20002102,"  2102 Tantalus (1975 YA)",2102,Tantalus,,Y,Y,0,16.00,,,,,,,1.649,,0.245,2.384,,,,,Q,,,0.04,"JPL 260",2460200.5,60200,2023-09-13.0,J2000,0.2993,1.29,0.904,64.00,94.35,61.52,169.20,1.68,0.6727,2459948.97,2023-01-04.4,535,1.47,0.0419,16.3,3.77,4.45,4.2e-10,2.4e-10,5.8e-10,8.7e-08,8.5e-08,1.2e-07,4.8e-07,3.2e-10,1.9e-10,6.4e-07,1.5e-07,APO,"Otto Matic",17388,1976-01-02,2023-08-11,2148,1,0,0,.38887,,,,,,,,,
20002135,"  2135 Aristaeus (1977 HA)",2135,Aristaeus,,Y,Y,0,18.05,,,,,,,,,,,,,,,,,,,"JPL 24",2460200.5,60200,2023-09-13.0,J2000,0.5028,1.6,0.795,23.07,191.12,290.97,7.48,2.40,0.4871,2460185.14,2023-08-28.6,739,2.02,0.00884,3.44,2.96,4.13,1.3e-06,8.1e-08,2.0e-06,5.1e-05,3.4e-04,1.6e-04,7.5e-04,1.2e-07,3.7e-08,1.5e-03,5.6e-05,APO,"Otto Matic",15749,1977-04-17,2020-05-30,61,,,1,.54865,,,,,,,,,
20002201,"  2201 Oljato (1947 XC)",2201,Oljato,,Y,Y,0,15.36,,,,,,,1.80,,0.4328,26,,,,,Sq,,,0.10,"JPL 258",2460200.5,60200,2023-09-13.0,J2000,0.7114,2.178,0.628,2.52,74.87,98.42,211.77,3.73,0.3067,2460683.77,2025-01-08.2,1.17e+03,3.21,0.0029,1.13,1.24,3.3,3.0e-09,1.4e-09,6.7e-09,1.3e-07,4.9e-06,5.1e-06,7.3e-07,2.4e-09,3.0e-10,2.8e-06,1.1e-06,APO,"Otto Matic",33583,1931-12-03,2023-11-13,1360,0,5,0,.51211,,,,,,,,,
20002340,"  2340 Hathor (1976 UA)",2340,Hathor,,Y,Y,0,20.43,,,,,,,0.3,,,3.35,,0.770,0.500,,Sq,CSU,,,"JPL 62",2460200.5,60200,2023-09-13.0,J2000,0.4499,0.8438,0.464,5.86,211.30,40.09,264.78,1.22,1.272,2460275.38,2023-11-26.8,283,0.775,0.00662,2.58,3.81,6.88,3.6e-08,9.5e-10,3.1e-08,4.3e-06,1.3e-05,1.4e-05,5.7e-06,1.4e-09,2.2e-09,4.6e-06,4.8e-07,ATE,Giorgini,16477,1976-10-25,2021-12-05,572,4,3,0,.37471,,,,-3.0e-14,6.3e-16,,,,
20003122,"  3122 Florence (1981 ET3)",3122,Florence,,Y,Y,2,14.10,,,,,,,4.9,,0.231,2.3581,,,,,S,,,,"JPL 754",2460200.5,60200,2023-09-13.0,J2000,0.4231,1.769,1.020,22.14,336.06,27.88,193.13,2.52,0.4189,2460598.84,2024-10-15.3,859,2.35,0.0445,17.3,3,3.92,5.9e-10,4.7e-10,1.1e-09,5.2e-08,1.5e-07,1.7e-07,4.0e-07,6.6e-10,1.7e-10,1.1e-06,3.4e-07,AMO,"Otto Matic",16429,1979-03-09,2024-03-01,8444,6,0,0,.28629,,,,,,,,,
