name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Al Zarnkh,447,Valid,LL5,700.0,Fell,2001,13.66033,28.96,"(13.66033, 28.96)"
Alby sur Chéran,458,Valid,Eucrite-mmict,252.0,Fell,2002,45.82133,6.01533,"(45.82133, 6.01533)"
Almahata Sitta,48915,Valid,Ureilite-an,3950.0,Fell,2008,20.74575,32.41275,"(20.74575, 32.41275)"
Ash Creek,48954,Valid,L6,9500.0,Fell,2009,31.805,-97.01,"(31.805, -97.01)"
Bassikounou,44876,Valid,H5,29560.0,Fell,2006,15.78333,-5.9,"(15.78333, -5.9)"
Battle Mountain,56133,Valid,L6,2900.0,Fell,2012,40.66813,-117.18913,"(40.66813, -117.18913)"
Benguerir,30443,Valid,LL6,25000.0,Fell,2004,32.25,-8.15,"(32.25, -8.15)"
Beni M'hira,5018,Valid,L6,19000.0,Fell,2001,32.86667,10.8,"(32.86667, 10.8)"
Bensour,5024,Valid,LL6,45000.0,Fell,2002,30.0,-7.0,"(30.0, -7.0)"
Berduc,48975,Valid,L6,270.0,Fell,2008,-31.91,-58.32833,"(-31.91, -58.32833)"
Berthoud,47355,Valid,Eucrite-mmict,960.0,Fell,2004,40.30583,-105.02325,"(40.30583, -105.02325)"
Bhawad,36591,Valid,LL6,678.0,Fell,2002,26.50833,73.11528,"(26.50833, 73.11528)"
Boumdeid (2003),57168,Valid,L6,190.0,Fell,2003,17.71067,-11.3715,"(17.71067, -11.3715)"
Boumdeid (2011),57167,Valid,L6,3599.0,Fell,2011,17.17493,-11.34133,"(17.17493, -11.34133)"
Bukhara,30448,Valid,CV3,5300.0,Fell,2001,39.77978,64.60035,"(39.77978, 64.60035)"
Bunburra Rockhole,48653,Valid,Eucrite,324.0,Fell,2007,-31.35,129.19,"(-31.35, 129.19)"
Buzzard Coulee,48654,Valid,H4,41000.0,Fell,2008,52.996,-109.84817,"(52.996, -109.84817)"
Cali,45976,Valid,H/L4,478.0,Fell,2007,3.405,-76.51,"(3.405, -76.51)"
Carancas,45817,Valid,H4-5,342.0,Fell,2007,-16.66444,-69.04389,"(-16.66444, -69.04389)"
Chelyabinsk,57165,Valid,LL5,100000.0,Fell,2013,54.81667,61.11667,"(54.81667, 61.11667)"
Chergach,47347,Valid,H5,100000.0,Fell,2007,23.69639,-5.01472,"(23.69639, -5.01472)"
Daule,51559,Valid,L5,6580.0,Fell,2008,-1.87089,-79.95756,"(-1.87089, -79.95756)"
Dergaon,6664,Valid,H5,12500.0,Fell,2001,26.68333,93.86667,"(26.68333, 93.86667)"
Devgaon,6694,Valid,H3.8,12000.0,Fell,2001,19.0,81.0,"(19.0, 81.0)"
Didim,47350,Valid,H3-5,3396.0,Fell,2007,37.35172,27.32997,"(37.35172, 27.32997)"
Gasseltepaoua,10866,Valid,H5,-1.0,Fell,2000,14.15083,-2.04167,"(14.15083, -2.04167)"
Grimsby,50911,Valid,H5,215.0,Fell,2009,43.2,-79.61667,"(43.2, -79.61667)"
Hiroshima,11889,Valid,H5,414.0,Fell,2003,34.45,132.38333,"(34.45, 132.38333)"
